file_type_std,file_name_std,media_type_id,media_category,media_subcategory,media_geo,media_language,file_name_std_old,id,file_name,.part_name
occurrences,cinema,27,cinema,cinema,national,english,cinema,27,cinema,cinema__national
occurrences,cinema,28,cinema,cinema,local,english,cinema,28,cinema,cinema__regional
occurrences,fsi_coupon,12,print,fsi_coupon,national,english,fsi_coupon,12,fsi_coupon,fsi_coupon
occurrences,internet,25,online,internet,national,english,internet,25,internet,internet__national
occurrences,internet,26,online,internet,local,english,internet,26,internet,internet__local
occurrences,magazine,7,print,magazine,national,english,magazine,7,magazine,magazine__national
occurrences,magazine,8,print,magazine,local,english,magazine,8,magazine,magazine_local
occurrences,national_tv,1,tv,network_tv,national,english,network_tv,1,national_tv,national_tv__network
occurrences,national_tv,4,tv,network_tv,national,spanish,network_tv,4,national_tv,national_tv__network_spanish
occurrences,national_tv,2,tv,cable_tv,national,english,network_tv,2,national_tv,national_tv__cable
occurrences,national_tv,22,tv,cable_tv,national,spanish,network_tv,22,national_tv,national_tv__cable_spanish
occurrences,national_tv,3,tv,syndicated_tv,national,english,network_tv,3,national_tv,national_tv__syndicated
occurrences,newspaper,9,print,newspaper,national,english,newspaper,9,newspaper,newspaper__national
occurrences,newspaper,16,print,sunday_supplement,national,english,newspaper,16,newspaper,sunday_supplement__national
occurrences,newspaper,10,print,newspaper,local,english,newspaper,10,newspaper,newspaper__local
occurrences,newspaper,15,print,sunday_supplement,local,english,newspaper,15,newspaper,sunday_supplement__local
occurrences,outdoor,11,outdoor,outdoor,local,english,outdoor,11,outdoor,outdoor
occurrences,radio,6,radio,network_radio,national,english,radio,6,radio,network_radio
occurrences,radio,17,radio,spot_radio,local,english,radio,17,radio,spot_radio
occurrences,local_tv,5,tv,spot_tv,local,english,spot_tv,5,local_tv,local_tv__spot
occurrences,local_tv,13,tv,network_tv,local,english,spot_tv,13,local_tv,local_tv__network_clearance
occurrences,local_tv,14,tv,syndicated_tv,local,english,spot_tv,14,local_tv,local_tv__syndicated_clearance
occurrences,local_tv,24,tv,cable_tv,local,english,spot_tv,24,local_tv,local_tv___cable
occurrences,digital,31,online,digital,national,english,digital,31,digital,digital__national
