MediaTypeID,MediaType,OccurrenceFilename,UniqueKey
1,Network TV,NationalTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode, GrpPercentage, MonitorPlusProgramCode"
4,Spanish Language Network TV,NationalTV.tsv,"AdDate, AdTime, MarketCode, MediatTypeID, DistributorCode, AdCode, MonitorPlusProgramCode"
2,Cable TV,NationalTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode, MonitorPlusProgramCode"
22,Spanish Language Cable TV,NationalTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"
3,Syndicated TV,NationalTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode, NielsenProgramCode, TelecastNumber"
5,Spot TV,SpotTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"
13,Network Clearance Spot TV,SpotTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"
14,Syndicated Clearance Spot TV,SpotTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"
24,Local/Regional Cable TV,SpotTV.tsv,"AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"
7,National Magazine,Magazine.tsv,"AdDate, MarketCode, MediaTypeID, DistributorID, Spend, AdCode, AdNumber"
8,Local Magazine,Magazine.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode"
12,FSI Coupon,FSICoupon.tsv,"AdDate, MarketCode, MediaTypeID, AdCode, SourceCode, OffValue, CouponID"
9,National Newspaper,Newspaper.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode"
16,National Sunday Supplement,Newspaper.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode"
10,Local Newspaper,Newspaper.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode"
15,Local Sunday Supplement,Newspaper.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode"
6,Network Radio,Radio.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"
17,Spot Radio,Radio.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode, AdTime, RadioDaypartID"
11,Outdoor,Outdoor.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"
25,National Internet,Internet.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"
26,Local Internet,Internet.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"
27,National Cinema,Cinema.tsv,"AdDate, MarketCode, MediaTypeID, AdCode"
28,Regional Cinema,Cinema.tsv,"AdDate, MarketCode, MediaTypeID, AdCode"
31,National Digital,Digital.tsv,"AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode, AdPlatformId, AdTypeId"
